Time,Leaf,Replicate,Non_infected,Venus_only,BFP_only,Mixed
3,3,1,7219,11,22,0
3,5,1,12254,17,10,0
3,6,1,29864,453,170,35
3,7,1,4309,0,5,0
3,3,2,7378,24,68,10
3,5,2,7489,0,4,0
3,6,2,19607,143,46,7
3,7,2,31221,0,15,1
3,3,3,8978,26,32,8
3,5,3,11419,23,14,2
3,6,3,30636,110,50,5
3,7,3,32127,0,41,0
3,3,4,8105,53,52,11
3,5,4,5974,0,0,0
3,6,4,27343,390,75,15
3,7,4,21848,8,15,0
3,3,5,11491,24,43,3
3,5,5,9434,0,8,0
3,6,5,30456,264,243,27
3,7,5,16679,0,43,0
5,3,1,12349,136,50,28
5,5,1,8609,37,44,11
5,6,1,27567,1354,766,429
5,7,1,29369,670,209,54
5,3,2,8958,93,44,17
5,5,2,10044,210,54,36
5,6,2,23885,4231,1007,995
5,7,2,28910,971,92,87
5,3,3,10661,79,61,16
5,5,3,6125,2,2,0
5,6,3,26162,1425,717,503
5,7,3,29895,230,51,22
5,3,4,11924,187,87,31
5,5,4,9938,7,7,2
5,6,4,27045,1359,1336,388
5,7,4,29524,422,103,14
5,3,5,9848,249,104,64
5,5,5,8650,26,3,1
5,6,5,20899,2506,826,655
5,7,5,29457,403,35,13
7,3,1,8854,258,143,28
7,5,1,7250,0,0,0
7,6,1,13474,1492,705,589
7,7,1,28382,985,729,143
7,3,2,11098,482,320,84
7,5,2,10500,368,104,45
7,6,2,19067,5669,1977,3374
7,7,2,29784,637,34,112
7,3,3,12757,276,146,48
7,5,3,9227,419,97,93
7,6,3,29255,626,289,168
7,7,3,21073,4914,1518,2391
7,3,4,10233,351,197,46
7,5,4,9025,81,17,13
7,6,4,21142,4946,947,1771
7,7,4,24501,1212,121,348
7,3,5,8347,429,230,62
7,5,5,6687,9,10,0
7,6,5,21256,2869,1099,1282
7,7,5,27369,949,676,175
10,3,1,8347,429,230,62
10,5,1,9777,90,32,13
10,6,1,18299,2564,802,555
10,7,1,25215,1704,273,281
10,3,2,8895,395,166,25
10,5,2,11849,1,7,0
10,6,2,16504,1977,643,543
10,7,2,21047,997,2006,792
10,3,3,9554,609,323,67
10,5,3,12761,79,41,5
10,6,3,16930,6085,1775,1962
10,7,3,15365,7317,1050,2935
10,3,4,11021,447,458,35
10,5,4,9421,11,6,4
10,6,4,19962,2502,714,588
10,7,4,16555,8631,305,578
10,3,5,9416,612,246,59
10,5,5,9019,27,3,4
10,6,5,17521,3514,490,507
10,7,5,18532,2251,2349,1054
